attribute,review_id,sentiment,evidence,confidence,review_title,review_text,review_rating
cord_length,1449698272000,positive,I love the super long cord,1.0,"The sound is fine, and I love the super long cord and ...","I use these at my desk at work, and also while playing keyboard. They do become slightly uncomfortable if I wear them for too many hours at a time, but most headphones do when you wear eyeglasses.<br />The sound is fine, and I love the super long cord and that there's a way to shorten it!",4.0
cord_length,1318621788000,positive,I was really surprised by how long the wire was though. It's around ten feet long.,1.0,Nice Headphones,They are a little tight and become uncomfortable after hours of wear. I was really surprised by how long the wire was though. It's around ten feet long.,4.0
clarity,1435884831000,positive,"This as a pair of low-cost cans is unbeatable! No muffled highs, amazing depth of clarity.",1.0,amazing depth of clarity,"This as a pair of low-cost cans is unbeatable!  No muffled highs, amazing depth of clarity.  Absolutely recommended for those who need a stopgap between high-quality pairs, or anyone needing something for a quick trip.<br /><br />Get one and find out!",5.0
clarity,1331077411000,positive,amazing sound.,1.0,Amazing sound! Strong bass,"These headphones are comfortable and provide amazing sound. The bass is strong, which I like. The quality seems good so far although I've only had these for a few weeks.",5.0
clarity,1463621827000,mixed,no way to balance sound,0.5,Four Stars,no way to balance sound. Otherwise Okay,4.0
mobility,1385673698000,positive,The long cord gives me the mobility I need.,1.0,Great sound.,Great sound very real. The long cord gives me the mobility I need speacilly when I'm broadcasting in my radio show. Great fit.,5.0
price,1418281297000,positive,'Great headset for the price.',1.0,Four Stars,Great headset for the price.,4.0
price,1362498667000,positive,Fantastic headphones for the price.,0.9,Outstanding headphones!,Fantastic headphones for the price. Very pleased with the quality. The cord manager thingy is a great touch as well!,4.0
price,1437711335000,positive,Great for the price.,1.0,Five Stars,I use them everyday at work and i really like them. Great for the price.,5.0
bass,1331077411000,positive,"The bass is strong, which I like.",1.0,Amazing sound! Strong bass,"These headphones are comfortable and provide amazing sound. The bass is strong, which I like. The quality seems good so far although I've only had these for a few weeks.",5.0
