attribute,review_id,sentiment,evidence,confidence,review_title,review_text,review_rating
usability,1561819007303,positive,is easy to clean,1.0,Nice utility,"I’m not a huge fan of Kuerig, but this makes it bearable by allowing me to load up my own pods!  Works perfectly in the machines and is easy to clean.",5.0
usability,1573906451453,positive,Really easy to use,1.0,Just what I wanted,Really easy to use,5.0
usability,1493296702000,mixed,You just have to figure out how to properly place it in the machine. If it tells you it is not made for the machine just move it a bit and it will work.,0.8,Great value for good quality.,These are great for using grounds and having less waste. You just have to figure out how to properly place it in the machine. If it tells you it is not made for the machine just move it a bit and it will work. These are well made and for the price excellent.,5.0
usability,1506479195289,positive,Work well.,1.0,I would recommend them. You will save a lot of money ...,Work well. I would recommend them. You will save a lot of money over purchasing the K cups.,4.0
usability,1562159488047,positive,These are great!,1.0,As described,These are great! Glad I have them,5.0
usability,1662364649336,positive,No more issues with guests damaging units now.,1.0,Insert any direction,Had tried different filters prior to this one.  Guests would occasionally insert them in wrong and puncture the plastic or metal base. Found this model where entire bottom is raised.  No more issues with guests damaging units now.,5.0
usability,1518653549215,positive,Great feel,1.0,Great feel fits my two different Carrigg coffee pots,"Great feel fits my two different Carrigg coffee pots, you can also save money by buying regular canisters of coffee! Great for gifting with some awesome coffee!",5.0
usability,1620078898079,positive,getting a 4 pack means you can use a couple while 2 dry to empty,0.9,Works great,getting a 4 pack means you can use a couple while 2 dry to empty...saves the landfill from all those non biodegradable ones,4.0
usability,1555791251543,positive,Makes them very easy to clean,1.0,Love them,"I use them with paper filter, makes them very easy to clean and my favorite coffee tastes great",5.0
usability,1589216763239,positive,It's so simple to use,0.9,Great investment,It's so simple to use and saves so much money over the K-cups. Plus I can use any flavor coffee I want without extra expense. I'm using them exclusively now.,5.0
usability,1608511711312,positive,These are much better,0.8,,,
usability,1528570084620,mixed,The down side- the lids do not have hinges. You have to hold the cup while you fill it so it will not tip over and spill your coffee grounds,0.9,They are better than prefilled k cups,They are better than prefilled k cups. The down side- the lids do not have hinges. When you are trying to fill them the lids overbalance the cup to one side. You have to hold the cup while you fill it so it will not tip over and spill your coffee grounds while you fill it.,3.0
usability,1567966307576,positive,I can use a Keurig machine without messing around with cleaning.,1.0,Its about time!,"Finally, I can use a Keurig machine without buying loads of little wasteful cups or messing around with cleaning.",5.0
economy,1518653549215,positive,save money by buying regular canisters of coffee!,1.0,Great feel fits my two different Carrigg coffee pots,"Great feel fits my two different Carrigg coffee pots, you can also save money by buying regular canisters of coffee! Great for gifting with some awesome coffee!",5.0
economy,1620078898079,positive,saves the landfill from all those non biodegradable ones,0.9,Works great,getting a 4 pack means you can use a couple while 2 dry to empty...saves the landfill from all those non biodegradable ones,4.0
economy,1444304934000,positive,These baskets are lifesavers. Buying K Cups is so expensive this saves you a ton of money.,1.0,I love being able to use any kind of coffee I ...,These baskets are lifesavers. Buying K Cups is so expensive this saves you a ton of money. I love being able to use any kind of coffee I like even an espresso ground and being able to use some over and over and over again they are worth every single penny.,5.0
economy,1589216763239,positive,saves so much money,0.9,Great investment,It's so simple to use and saves so much money over the K-cups. Plus I can use any flavor coffee I want without extra expense. I'm using them exclusively now.,5.0
economy,1505863386712,positive,So much less expensive!,1.0,Just what I was looking for - no longer need ...,"Just what I was looking for - no longer need to buy k-cups, just ground coffee. So much less expensive!",5.0
economy,1604949746098,positive,a lot cheaper in the long run.,1.0,They work!,"I was concerned that they'd leak or break.  But so far, they work fine.  The coffee is just as good or better, and a lot cheaper in the long run.",5.0
delivery,1513305116945,positive,fast delivery!,1.0,Best for 2.0 brewers!,These work great in 2.0 brewers the old cups caused problems with grounds in the coffee.  Good pricing and fast delivery!,5.0
prev_usability,1517527328214,positive,built to very tight tolerances,1.0,"Take that, K-Cups! Ha ha.","This product is great -- it appears to be built to very tight tolerances (the lid has a mini o-ring for a very tight seal), which works great. Just a suggestion -- as consumers are getting more and more concerned about leached chemicals from plastics, and seem to believe that silicone is a better alternative, it is probably time to investigate how to replace the plastics in this product with silicone.",5.0
material,1517527328214,positive,seem to believe that silicone is a better alternative,1.0,"Take that, K-Cups! Ha ha.","This product is great -- it appears to be built to very tight tolerances (the lid has a mini o-ring for a very tight seal), which works great. Just a suggestion -- as consumers are getting more and more concerned about leached chemicals from plastics, and seem to believe that silicone is a better alternative, it is probably time to investigate how to replace the plastics in this product with silicone.",5.0
